city_name,city_slug,city_url,category_url,http_status,html_bytes,poi_link_count,unique_poi_link_count,strict_match_count,broad_match_count,elapsed_seconds,error
果洛藏族自治州,guoluo,http://poi.mapbar.com/guoluo/,http://poi.mapbar.com/guoluo/D30/,,,0,0,0,0,1.116,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guoluo/D30/')
固原市,guyuan,http://poi.mapbar.com/guyuan/,http://poi.mapbar.com/guyuan/D30/,,,0,0,0,0,1.116,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guyuan/D30/')
哈尔滨市,haerbin,http://poi.mapbar.com/haerbin/,http://poi.mapbar.com/haerbin/D30/,,,0,0,0,0,1.122,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/haerbin/D30/')
海北藏族自治州,haibei,http://poi.mapbar.com/haibei/,http://poi.mapbar.com/haibei/D30/,,,0,0,0,0,1.138,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/haibei/D30/')
海东市,haidong,http://poi.mapbar.com/haidong/,http://poi.mapbar.com/haidong/D30/,,,0,0,0,0,1.124,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/haidong/D30/')
海口市,haikou,http://poi.mapbar.com/haikou/,http://poi.mapbar.com/haikou/D30/,,,0,0,0,0,1.128,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/haikou/D30/')
海南藏族自治州,hainan,http://poi.mapbar.com/hainan/,http://poi.mapbar.com/hainan/D30/,,,0,0,0,0,1.105,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hainan/D30/')
海西蒙古族藏族自治州,haixi,http://poi.mapbar.com/haixi/,http://poi.mapbar.com/haixi/D30/,,,0,0,0,0,1.112,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/haixi/D30/')
哈密市,hami,http://poi.mapbar.com/hami/,http://poi.mapbar.com/hami/D30/,,,0,0,0,0,1.112,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hami/D30/')
邯郸市,handan,http://poi.mapbar.com/handan/,http://poi.mapbar.com/handan/D30/,,,0,0,0,0,1.132,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/handan/D30/')
杭州市,hangzhou,http://poi.mapbar.com/hangzhou/,http://poi.mapbar.com/hangzhou/D30/,,,0,0,0,0,1.117,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hangzhou/D30/')
汉中市,hanzhong,http://poi.mapbar.com/hanzhong/,http://poi.mapbar.com/hanzhong/D30/,,,0,0,0,0,1.099,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hanzhong/D30/')
鹤壁市,hebi,http://poi.mapbar.com/hebi/,http://poi.mapbar.com/hebi/D30/,,,0,0,0,0,1.101,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hebi/D30/')
河池市,hechi,http://poi.mapbar.com/hechi/,http://poi.mapbar.com/hechi/D30/,,,0,0,0,0,1.106,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hechi/D30/')
合肥市,hefei,http://poi.mapbar.com/hefei/,http://poi.mapbar.com/hefei/D30/,,,0,0,0,0,1.132,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hefei/D30/')
鹤岗市,hegang,http://poi.mapbar.com/hegang/,http://poi.mapbar.com/hegang/D30/,,,0,0,0,0,1.119,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hegang/D30/')
黑河市,heihe,http://poi.mapbar.com/heihe/,http://poi.mapbar.com/heihe/D30/,,,0,0,0,0,1.136,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/heihe/D30/')
衡水市,hengshui,http://poi.mapbar.com/hengshui/,http://poi.mapbar.com/hengshui/D30/,,,0,0,0,0,1.118,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hengshui/D30/')
衡阳市,hengyang,http://poi.mapbar.com/hengyang/,http://poi.mapbar.com/hengyang/D30/,,,0,0,0,0,1.116,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hengyang/D30/')
和田地区,hetian,http://poi.mapbar.com/hetian/,http://poi.mapbar.com/hetian/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hetian/D30/')
河源市,heyuan,http://poi.mapbar.com/heyuan/,http://poi.mapbar.com/heyuan/D30/,,,0,0,0,0,1.129,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/heyuan/D30/')
菏泽市,heze,http://poi.mapbar.com/heze/,http://poi.mapbar.com/heze/D30/,,,0,0,0,0,1.127,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/heze/D30/')
贺州市,hezhou,http://poi.mapbar.com/hezhou/,http://poi.mapbar.com/hezhou/D30/,,,0,0,0,0,1.119,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hezhou/D30/')
红河哈尼族彝族自治州,honghe,http://poi.mapbar.com/honghe/,http://poi.mapbar.com/honghe/D30/,,,0,0,0,0,1.118,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/honghe/D30/')
香港特别行政区,hongkong,http://poi.mapbar.com/hongkong/,http://poi.mapbar.com/hongkong/D30/,,,0,0,0,0,1.318,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com')
淮安市,huaian,http://poi.mapbar.com/huaian/,http://poi.mapbar.com/huaian/D30/,,,0,0,0,0,1.113,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huaian/D30/')
淮北市,huaibei,http://poi.mapbar.com/huaibei/,http://poi.mapbar.com/huaibei/D30/,,,0,0,0,0,1.129,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huaibei/D30/')
怀化市,huaihua,http://poi.mapbar.com/huaihua/,http://poi.mapbar.com/huaihua/D30/,,,0,0,0,0,1.129,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huaihua/D30/')
淮南市,huainan,http://poi.mapbar.com/huainan/,http://poi.mapbar.com/huainan/D30/,,,0,0,0,0,1.111,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huainan/D30/')
黄冈市,huanggang,http://poi.mapbar.com/huanggang/,http://poi.mapbar.com/huanggang/D30/,,,0,0,0,0,1.123,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huanggang/D30/')
黄南藏族自治州,huangnan,http://poi.mapbar.com/huangnan/,http://poi.mapbar.com/huangnan/D30/,,,0,0,0,0,1.11,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huangnan/D30/')
黄山市,huangshan,http://poi.mapbar.com/huangshan/,http://poi.mapbar.com/huangshan/D30/,,,0,0,0,0,1.13,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huangshan/D30/')
黄石市,huangshi,http://poi.mapbar.com/huangshi/,http://poi.mapbar.com/huangshi/D30/,,,0,0,0,0,0.99,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huangshi/D30/')
呼和浩特市,huhehaote,http://poi.mapbar.com/huhehaote/,http://poi.mapbar.com/huhehaote/D30/,,,0,0,0,0,1.044,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huhehaote/D30/')
惠州市,huizhou,http://poi.mapbar.com/huizhou/,http://poi.mapbar.com/huizhou/D30/,,,0,0,0,0,1.11,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huizhou/D30/')
葫芦岛市,huludao,http://poi.mapbar.com/huludao/,http://poi.mapbar.com/huludao/D30/,,,0,0,0,0,1.111,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huludao/D30/')
呼伦贝尔市,hulunbeier,http://poi.mapbar.com/hulunbeier/,http://poi.mapbar.com/hulunbeier/D30/,,,0,0,0,0,1.134,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/hulunbeier/D30/')
胡杨河市,huyanghe,http://poi.mapbar.com/huyanghe/,http://poi.mapbar.com/huyanghe/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huyanghe/D30/')
湖州市,huzhou,http://poi.mapbar.com/huzhou/,http://poi.mapbar.com/huzhou/D30/,,,0,0,0,0,1.132,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/huzhou/D30/')
佳木斯市,jiamusi,http://poi.mapbar.com/jiamusi/,http://poi.mapbar.com/jiamusi/D30/,,,0,0,0,0,1.113,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/jiamusi/D30/')
吉安市,jian,http://poi.mapbar.com/jian/,http://poi.mapbar.com/jian/D30/,,,0,0,0,0,1.114,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/jian/D30/')
江门市,jiangmen,http://poi.mapbar.com/jiangmen/,http://poi.mapbar.com/jiangmen/D30/,,,0,0,0,0,1.124,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/jiangmen/D30/')
焦作市,jiaozuo,http://poi.mapbar.com/jiaozuo/,http://poi.mapbar.com/jiaozuo/D30/,,,0,0,0,0,1.132,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/jiaozuo/D30/')
